Term,Pronunciation,Context / Example Usage,Notes,Tags
Delia Kesner,,,,Author
Université de Paris,,,,Institution
CNRS,,,,Lab
IRIF,,,,Lab
Institut Universitaire de France,,,,Institution
Call-by-Name (CBN) ,,,,Common-term evaluation
Call-by-Value (CBV) ,,,,Common-term evaluation
Call-by-Push-Value (CBPV) ,,,,Common-term evaluation
lambda-bang calculus,,,,
intersection types,,,,
Girard,,,,
LL (linear logic) ,,,,
duality,,,,
P.B. Levy,,,,
Carvalho,,,,
thunk,,,,Common-term evaluation
force,,,,Common-term evaluation
Gardner's system ,,,,
derivation,,,,
idempotent,,,,Common-term
subject reduction,,,,Common-term
induction,,,,Common-term
derivation,,,,
beta-reduction,,,,Common-term evaluation
v-relevant,,,,
f-relevant,,,,
Meta-level,,,,Common-term
exponential,,,,
multiplicative,,,,
n-normal-form,,,,
v-normal-form,,,,
reduction relation,,,,
untyped,,,,
