Term,Pronunciation,Context / Example Usage,Notes,Tags
Elimination,,,,
Klaus Ostermann,,,,Author
David Binder,,,,Author
Ingo Skupin,,,,Author
Tim Süberkrüb,,,,Author
Paul Downen,,,,Author
University of Tübingen,,,,Institution
University of Massachusetts Lowell,,,,Institution
ND (natural deduction) ,,,,Common-term
calculus,,,,Common-term
bi-expressibility,,,,
lambda-calculus,,,,Common-term
Curry-Howard correspondence,,,,Common-term
call/cc,,Call with current continuation,,Common-term
Reynolds,,,,Name
continuation-passing style,,,,Common-term evaluation
filter,,,,
SC (sequent calculus) ,,,,Common-term
Wadler ,,,,Name
match,,,,
case expression,,,,
Tranchini,,,,Name
polarity,,,,
parsimonious filters,,,,
desugaring,,,,Common-term
copattern,,,,
matching,,“pattern matching”,,Common-term
Abel,,,,Name
Girard,,,,Name
elimination calculus,,,,
Parigot,,,,Name
duality,,,,
consumer,,,,
producer,,,,
polymorphism,,,,Common-term
syntax,,,,Common-term
reduction,,,,Common-term
refutation,,,,
