Term,Pronunciation,Context / Example Usage,Notes,Tags
Nachiappan Valliappan,,,,Author
Fabian Ruch,,,,Author
Carlos Tomé Cortiñas,,,,Author
Chalmers University of Technology,,,,Institute
lambda calculus,,,,Common-term
lambda calculi,,,,Common-term
modalities,,,,Common-term
modal,,,,
Fitch-style,,,,
delimiting operator,,,,
NbE (normalization by evaluation) ,,,,Common-term
𝜂-equivalence (eta-equivalence) ,,,,Common-term equivalence
𝛽-equivalence (beta-equivalence) ,,,,Common-term equivalence
K ,,“K axiom”,,
T,,“T axiom”,,
necessity modality,,,,
Kripke,,“Kripke semantics”,,Name
IT,,A logic,,
IK4,,,,
IS4,,,,
IK,,A logic,,
STLC (simply-typed lambda calculus) ,,,,Common-term
lambda-abstraction,,,,Common-term
Jay and Ghani ,,,,
Plotkin,,,,
Stirling,,,,
CCC (Cartesian closed category) ,,,,Common-term
adjunction,,,,Common-term
reify,,,,
reification,,,,
reflect,,,,
reflection,,,,
Krishnaswami,,,,
Choudhury,,,,
ML,,,,
Cap,,,,
Moggi,,,,
comonad,Koe-mow-nad,,,
monad,Mow-nad,,,Common-term
MTT (Multimodal Type Theory) ,,,,
λIK,Probably lambda-eye-kay,A variant of the lambda-calculus (a simple programming language),,
λIS4,,,,
λIT,,,,
deductive,,,,
Information-flow control (IFC),,,,
noninterference,,,,Common-term
