Term,Pronunciation,Context / Example Usage,Notes,Tags
Deadlock,,,,
Jules Jacobs,,,,Author
Stephanie Balzer,,,,Author
Robbert Krebbers,,,,Author
Radboud University,,,,Institution
Nijmegen,,“Radboud University Nijmegen” A city in the Netherlands,,City
Carnegie Mellon University,,Often “CMU”,,Institution
GV (Good Variation),,,,
Curry-Howard ,,,,
MPGV (Multiparty GV) ,,,,
Coq,“cock”,,,
Haskell,,,,Common-term programming-language
Scala,,,,Common-term programming-language
Rust,,,,Common-term programming-language
Wadler,,,,Name
Gay ,,,,Name
Vasconscelos,,,,Name
SILL family ,,,,
Honda,,,,
deadlock freedom,,,,
n-ary,,,,
induction,,,,
deadlock/leak freedom,,,,
mechanization,,,,
Iris,,,,
Iris proof mode,,,,
Coq code,“cock” code,,,
DSL (domain-specific language) ,,,,
recursive,,,,
session types,,,,
protocol,,,,
delegation,,,,
endpoint,,,,
Small-step operational semantics,,,,
runtime type system,,,,
