Term,Pronunciation,Context / Example Usage,Notes,Tags
Lisa Vasilenko,,,,Author
Elizaveta Vasilenko,,,,Author
Niki Vazou,,,,Author
Gilles Barthe,,,,Author
IMDEA Software Institute,,,,Institution
MPI-SP,,Max Planck Institute for Security and Privacy,,Institution
refinement types,,,,
probabilistic,,,,
Liquid Haskell,,,,
Haskell,,,,
TD (Temporal Difference) ,,,,
SGD (stochastic gradient descent) ,,,,
Vazou,,,,
F* ,F-star,,,
Scala,,,,
Swamy,,,, 
Handley ,,,,
Lehman ,,,,
Barthe,,,,
BiRelCost,,,,
bi-directional type checker,,,,
RHOL (Relational Higher-Order Logic) ,,,,
SMT ,,,,
monad,Mow-nad,,,
Bernoulli,,,,
Hsu,,,,
Handley,,,,
lambda,,,,
Kantorivich ,,“Kantorovich lifting”,,
Deng,,,,
Dirac distribution,,,,
Z3,,,,
ghost,,,,
safe-coupling,,,,
Monad.PrM ,,,,
Probabilistic Monad,,,,
MDP (Markov Decision Process) ,,,,
L-Lipschitz,,,,
Aguirre,,,,
lambda-calculus,,,,
relational,,,,
quantitative,,,,
axioms,,,,
λRP,Likely “lambda R.P.”,A variant of the lambda calculus with relational probabilistic typing,,
sequential,,,,
distribution,,,,
discrete,,,,
monadic,Mow-nad-ick,,,
