Term,Pronunciation,Context / Example Usage,Notes,Tags
James Koppel,,,,Author
Zheng Guo,,,,Author
Edsko de Vries,,,,Author
Armando Solar-Lezama,,,,Author
Nadia Polikarpova,,,,Author
Massachusetts Institute of Technology,,,,Institution
University of California,,,,Institution
Well-Typed LLP,,,,Institution
FTA (finite tree automata) ,,,,
e-graphs,,,,
ECTAs (equality-constrained tree automata) ,Probably “eck-ta”,,,
Haskell,,,,
Hectare,,,,
synthesizer,,,,
Hoogle+,"Like google, but with an “h” plus",Search tool for Haskell types,,
VSAs (version space algebras) ,,,,
GlashFill,,,,
API,,,,
unification,,,,
Boolean,,,,
qtype,,,,
PEC (path equivalence class) ,,,,
SAT,,,,
polymorphic,,,,Common-term
SMT,,,,
enumeration,,,,Common-term
reduction,,,,Common-term
dependent,,,,Common-term
well-typed,,,,Common-term
Type-driven program synthesis,,,,
acyclic,,,,Common-term
congruence,,,,Common-term
closure,,,,Common-term
semantics,,,,
reduction criterion,,,,
