Term,Pronunciation,Context / Example Usage,Notes,Tags
Hsiang-Shang 'Josh' Ko,,,,Author
Liang-Ting Chen,,,,Author
Tzu-Chi Lin,,,,Author
Academia Sinica,,,,Institution
Agda,,,,Programming-language
Datatype-generic programming,,,,
Gibbons,,,,
Stump,,,,
Brady,,,,
Kokke,,,,
McBride,,,,Name
Allais,,,,
Tarski,,,,
Martin-Löf,,,,
fold fusion,,,,
universe-polymorphic,,,,
Haskell,,,,
Idris,,,,
Dybjer,,,,
F-algebra,,,,
Peano,,,,
PDataD,,,,
mu operator,,,,
ornaments,,,,
elaborator reflection,,,,
instantiating,,,,
instantiation,,,,
metaprogram,,,,
polymorphism,,,,
algebraic ornamentation,,,,
