Term,Pronunciation,Context / Example Usage,Notes,Tags
KC Sivaramakrishnan,,,,Author
Multicore OCaml,,,,
IIT,,,,
Madras,,,,
Tarides,,,,
OCaml,,,,
shared-memory,,,,
Multicore,,,,
ecosystem,,,,
thread-safety,,,,
Lwt,,,,
algebraic effects,,,,
OCaml Multicore CI,,,, 
GitHub,,,,
GC (garbage collector) ,,,,
FFI (foreign function interface) ,,,,
API,,,,
Unix.fork,,,,
multicore programs,,,,
effect handler,,,,
CPU,,,,
I/O,,,,
Async,,,,
GHC Haskell,,,,
Go,,,,
DWARF,,,,
CPS (continuation-passing style) ,,,,
ProjectLoom,,,,
OpenJDK,,,,
Java,,,,
callback,,,,
Koka,,,,
try-finally,,,,
Eff,,,,
Frank,,,,
