Term,Pronunciation,Context / Example Usage,Notes,Tags
Benjamin Quirring,,,,Author
Olin Shivers,,,,Author
John Reppy,,,,Author
University of Maryland,,,,Institution
Northeastern University,,,,Institution
University of Chicago,,,,Institution
OCaml,,,,Common-term programming-language
Scheme,,,,
SML,,,,
monomorphic,,,,
MLton,I assume “milton”,,,
LIFO,,“last in first out”,,
3CPS,,Special variant of CPS,,
CPS,,continuation passing style,,
CPS-based,,,,
IR (intermediate representation) ,,,,Common-term
lambda-calculus,,,,Common-term
ANF,,,,
heap,,,,
Appel,,,,Name
Jim,,,,
Cardelli,,,,
Shao,,,,
fn,,,,
ulam,,,,
Pascal,,,,
Algol,,,,
0CFA,,,,
Le Fessant,,,,
Maranget,,,,
Vardoulakis,,,,
Shivers,,,,
CFA,,,,
SML/NJ,,,,
k-CFA framework,,,,
Gilray,,,,
Bigloo,,,,
binding variables,,,,
garbage-collected,,,,
register,,,,
collecting semantics,,,,
tail call,,,,
abstract state transition,,,,
abstract state space,,,,
Hindley-Milner,,,,
