Term,Pronunciation,Context / Example Usage,Notes,Tags
Yao Li,,,,Author
Stephanie Weirich,,,,Author
Portland State University,,,,Institution
University of Pennsylvania,,,,Institution
monad,Mow-nad,,,
effectful,,,,
program adverb,,,,
applicative functor,,,,
Tlön embedding,,,,
Verilog,,,,
Haskell,,,,
Coq,“coq”,,,
Boluton,,,,
AST ,A.S.T.,Abstract Syntax Tree,,
freer monads,,,,
Kiselyov,,,,
Ishii,,,,
Capretta,,,,
McBride,,,,
Wamy,,,,
Haxl,,,,
NetImp,,,,
NetSpec,,,,
MTC (Metatheory a la Carte) ,,,,
Church encoding,,,,
embeddings,,,,
semantic,,,,
reifies,,,,
reified,,,,
composable,,,,
inductive,,,,
axiom,,,,
QuickChick,,,,
abstractions,,,,
