Term,Pronunciation,Context / Example Usage,Notes,Tags
Shin-ya Katsumata,,,,Author
Dylan McDermott,,,,Author
Tarmo Uustula,,,,Author
Nicolas Wu,,,,Author
National Institute of Informatics,,,,Institution
Reykjavik University,,,,Institution
Imperial College London,,,,Institution
monad,Mow-nad,,,
effect,,,,
graded monads,,,,
algebra,,,,
Lucassen,,,,
Gifford,,,,
monoid,,,,
pomonoid,,,,
Smirnov,,,,
Melliès ,,,,
Katsumata,,,,
Kleisli extension,,,,
Goncharov,,,,
functor,,,,
category,,,,
morphism,,,,
Kleisli,,,,
algebra,,,,
rigidly graded monads,,,,
lax functor,,,,
Plotkin,,,,
Power,,,,
Altenkrich,,,,
locally graded category ,,,,
categorical semantics,,,,
nondeterminism,,,,
