Term,Pronunciation,Context / Example Usage,Notes,Tags
Patrick Thomson,,,,Author
Rob Rix,,,,Author
Tom Schrijvers,,,,Author
Nicolas Wu,,,,Author
KU Leuven,,,,Institution
Imperial College London,,,,Institution
GitHub,,,,Institution
Semantic,,,,
LR parsing,,Left-to-right parsing,,
FP,,functional programming,,
bidirectional,,,,
diffing,,,,
diff,,,,
git-diff,,,,
LALR(1) parser,,,,
GNU Bison,,,,
Objective-C,,,,
API,,,,
GHC (Glasgow Haskell Compiler) ,,,,
Sigma,,,,
FFI (Foreign Function Interface) ,,,,
GLR parsing,,,,
PL,,,,
MTL,,,,
à la Carte,,,, 
DSL,,,,
Haskell,,,,
Rust,,,,
Tree-Sitter,,,,
Err functor,,,,
recursion schemes,,,,
