Term,Pronunciation,Context / Example Usage,Notes,Tags
Minh Nguyen,,,,Author
Roly Perera,,,,Author
Meng Wang,,,,Author
Nicolas Wu,,,,Author
University of Bristol,,,,Institution
Alan Turing Institute,,,,Institution
Imperial College London,,,,Institution
PPLs (probabilistic programming languages) ,,,,
Haskell,,,,
effect handler,,,,
van de Meent,,,,
MonadBayes,,,,
Anglican,,,,
Ścibior,,,,
Tolpin,,,,
Turing,,,,
Gen,,,,
ProbFX,,Name of the tool developed in this paper,,
multimodal,,,,
Plotkin,,,,
Power,,,,
Pretnar,,,,
row polymorphism,,,,
PureScript,,,,
OCaml,,,,
HMM (Hidden Markov Model) ,,,,
Bernoulli,,,,
SIR model,,,,
AD (automatic differentiation) ,,,,
modular,,,,
SIR transition model,,,,
SIR observation model,,,,
