Term,Pronunciation,Context / Example Usage,Notes,Tags
Frank Emrich,,,,Author
Jan Stolarek,,,,Author
James Cheney,,,,Author
Sam Lindley,,,,Author
University of Edinburgh,,,,Institution
Alan Turing Institute,,,,Institution
FreezeML,,,,
Hindley-Milner type inference,,,,
OutsideIn,,,,
HM,,,,
Pottier/Rémy,,,,
System F,,,,
Algorithm W,,,,
GADT,Gad-it,Generalized algebraic data type,,
PolyML,,,,
ML,,,,
GI,,,,
n-ary,,,,
monomorphic,,,,
polymorphic,,,,
QuickLook,,,,
principality,,,,
metatheory,,,,
restriction context,,,,
type substitution,,,,
idempotence,,,,
HM(X) Solver,,A tool that they compare against,,tool
