Term,Pronunciation,Context / Example Usage,Notes,Tags
Arnaud Spiwack,,,,Author
Csongor Kiss,,,,Author
Jean-Philippe Bernardy,,,,Author
Nicolas Wu,,,,Author
Richard A. Eisenberg,,,,Author
Tweag,,,,Institution
Imperial College London,,,,Institution
University of Gothenburg,,,,Institution
Jane Street,,,,Institution
linear types,,,,Common-term
linear Haskell,,,,
GHC ,,,,
constraint solver,,,,
Rust,,,,
Idris 2,,,,
Girard,,,,
Ur (pronounced unrestricted) ,,,,
Bernardy,,,,
Cervesato,,,,
Hodas and Miller,,,,
Vytiniotis,,,,
Peyton Jones ,,,,
Schrijvers,,,,
Sulzman,,,,
Mezzo,,,,
Pottier,,,,
Protzenko,,,,
ATS ,,“Advanced Type System”,,Programming-language
Zhu,,,,
Xi,,,,
semiring,,,,
read2AndDiscard,,,,
API,A.P.I.,Application Programming Interface,,Common-term
array,,,,
OutsideIn,,,,
capability,,,,
GADT,Gad-it,Generalized algebraic data types,,Common-term
Hereditary Harrop,,,,
qualified type system,,,,
linear constraints,,,,
entailment,,,,
conjunction,,,,
constraint inference,,,,
atomic,,,,
desugaring,,,,
inferring,,,,
